Algorithm,Map,Run,Value
Dijkstra,1,1,0.007388114929199219
Astar,1,1,0.00915670394897461
RRT,1,1,0.010187864303588867
PRM,1,1,0.00878286361694336
PSO,1,1,0.2013697624206543
Dijkstra,1,2,0.0062329769134521484
Astar,1,2,0.0060577392578125
RRT,1,2,0.013350486755371094
PRM,1,2,0.008679389953613281
PSO,1,2,0.27104878425598145
Dijkstra,1,3,0.006196498870849609
Astar,1,3,0.005971193313598633
RRT,1,3,0.005417346954345703
PRM,1,3,0.009467601776123047
PSO,1,3,0.22826862335205078
Dijkstra,1,4,0.009821653366088867
Astar,1,4,0.006702423095703125
RRT,1,4,0.006323337554931641
PRM,1,4,0.009654045104980469
PSO,1,4,0.308429479598999
Dijkstra,1,5,0.005691051483154297
Astar,1,5,0.006731271743774414
RRT,1,5,0.008510351181030273
PRM,1,5,0.010207653045654297
PSO,1,5,0.2161719799041748
Dijkstra,1,6,0.005959510803222656
Astar,1,6,0.00718379020690918
RRT,1,6,0.00739598274230957
PRM,1,6,0.008462905883789062
PSO,1,6,0.19017863273620605
Dijkstra,1,7,0.005638599395751953
Astar,1,7,0.007274627685546875
RRT,1,7,0.00885152816772461
PRM,1,7,0.00803375244140625
PSO,1,7,0.34819674491882324
Dijkstra,1,8,0.0055963993072509766
Astar,1,8,0.0067615509033203125
RRT,1,8,0.0041141510009765625
PRM,1,8,0.009595870971679688
PSO,1,8,0.22350692749023438
Dijkstra,1,9,0.008350610733032227
Astar,1,9,0.007388114929199219
RRT,1,9,0.011459112167358398
PRM,1,9,0.008203744888305664
PSO,1,9,0.3635752201080322
Dijkstra,1,10,0.00609588623046875
Astar,1,10,0.006441354751586914
RRT,1,10,0.004752635955810547
PRM,1,10,0.009189605712890625
PSO,1,10,0.20292401313781738
Dijkstra,1,11,0.009273290634155273
Astar,1,11,0.0074160099029541016
RRT,1,11,0.023738384246826172
PRM,1,11,0.007831573486328125
PSO,1,11,0.20171618461608887
Dijkstra,1,12,0.005990505218505859
Astar,1,12,0.008491992950439453
RRT,1,12,0.006627798080444336
PRM,1,12,0.008282661437988281
PSO,1,12,0.24746036529541016
Dijkstra,1,13,0.007261037826538086
Astar,1,13,0.006643772125244141
RRT,1,13,0.007600069046020508
PRM,1,13,0.008003950119018555
PSO,1,13,0.27437782287597656
Dijkstra,1,14,0.006470441818237305
Astar,1,14,0.006320953369140625
RRT,1,14,0.0031790733337402344
PRM,1,14,0.007695198059082031
PSO,1,14,0.1902756690979004
Dijkstra,1,15,0.0060558319091796875
Astar,1,15,0.006327629089355469
RRT,1,15,0.011208057403564453
PRM,1,15,0.00786590576171875
PSO,1,15,0.22386908531188965
Dijkstra,1,16,0.0056378841400146484
Astar,1,16,0.006257295608520508
RRT,1,16,0.004952907562255859
PRM,1,16,0.008631229400634766
PSO,1,16,0.2317032814025879
Dijkstra,1,17,0.0057125091552734375
Astar,1,17,0.007235527038574219
RRT,1,17,0.0198972225189209
PRM,1,17,0.007209062576293945
PSO,1,17,0.34708714485168457
Dijkstra,1,18,0.0055921077728271484
Astar,1,18,0.007432699203491211
RRT,1,18,0.0055980682373046875
PRM,1,18,0.008211851119995117
PSO,1,18,0.28662943840026855
Dijkstra,1,19,0.005696773529052734
Astar,1,19,0.0064487457275390625
RRT,1,19,0.004996538162231445
PRM,1,19,0.008159399032592773
PSO,1,19,0.35813474655151367
Dijkstra,1,20,0.005965709686279297
Astar,1,20,0.007768869400024414
RRT,1,20,0.0042209625244140625
PRM,1,20,0.00806879997253418
PSO,1,20,0.18602466583251953
Dijkstra,2,1,0.005539655685424805
Astar,2,1,0.005182743072509766
RRT,2,1,0.003431081771850586
PRM,2,1,0.0073032379150390625
PSO,2,1,0.16786813735961914
Dijkstra,2,2,0.004992008209228516
Astar,2,2,0.00603938102722168
RRT,2,2,0.003791332244873047
PRM,2,2,0.011790275573730469
PSO,2,2,1.5139172077178955
Dijkstra,2,3,0.004901409149169922
Astar,2,3,0.004674673080444336
RRT,2,3,0.0012562274932861328
PRM,2,3,0.01044774055480957
PSO,2,3,1.500941514968872
Dijkstra,2,4,0.005215167999267578
Astar,2,4,0.006266593933105469
RRT,2,4,0.339186429977417
PRM,2,4,0.00799107551574707
PSO,2,4,0.17248320579528809
Dijkstra,2,5,0.003988504409790039
Astar,2,5,0.0039861202239990234
RRT,2,5,0.014387369155883789
PRM,2,5,0.005923748016357422
PSO,2,5,0.18000006675720215
Dijkstra,2,6,0.00479435920715332
Astar,2,6,0.005076408386230469
RRT,2,6,0.001252889633178711
PRM,2,6,0.008530855178833008
PSO,2,6,1.4851162433624268
Dijkstra,2,7,0.00345611572265625
Astar,2,7,0.004186391830444336
RRT,2,7,0.019032716751098633
PRM,2,7,0.0062601566314697266
PSO,2,7,1.4997801780700684
Dijkstra,2,8,0.004523038864135742
Astar,2,8,0.004284858703613281
RRT,2,8,0.004461526870727539
PRM,2,8,0.007080554962158203
PSO,2,8,0.1640331745147705
Dijkstra,2,9,0.005700111389160156
Astar,2,9,0.0040667057037353516
RRT,2,9,0.012985706329345703
PRM,2,9,0.007524251937866211
PSO,2,9,0.1669762134552002
Dijkstra,2,10,0.004948616027832031
Astar,2,10,0.0036630630493164062
RRT,2,10,0.0052340030670166016
PRM,2,10,0.007351398468017578
PSO,2,10,0.15980911254882812
Dijkstra,2,11,0.005187034606933594
Astar,2,11,0.004378080368041992
RRT,2,11,0.02272343635559082
PRM,2,11,0.007295131683349609
PSO,2,11,1.486830472946167
Dijkstra,2,12,0.0029990673065185547
Astar,2,12,0.003429412841796875
RRT,2,12,0.00923299789428711
PRM,2,12,0.004945039749145508
PSO,2,12,1.4802193641662598
Dijkstra,2,13,0.005579710006713867
Astar,2,13,0.004228353500366211
RRT,2,13,0.009393692016601562
PRM,2,13,0.00952601432800293
PSO,2,13,1.499974012374878
Dijkstra,2,14,0.005003929138183594
Astar,2,14,0.0050623416900634766
RRT,2,14,0.011164665222167969
PRM,2,14,0.0075931549072265625
PSO,2,14,1.490851640701294
Dijkstra,2,15,0.0041790008544921875
Astar,2,15,0.0035200119018554688
RRT,2,15,0.0032062530517578125
PRM,2,15,0.004926919937133789
PSO,2,15,1.5097694396972656
Dijkstra,2,16,0.006041526794433594
Astar,2,16,0.0051534175872802734
RRT,2,16,0.0066797733306884766
PRM,2,16,0.008172750473022461
PSO,2,16,1.6725752353668213
Dijkstra,2,17,0.004649639129638672
Astar,2,17,0.004406929016113281
RRT,2,17,0.006119966506958008
PRM,2,17,0.006712675094604492
PSO,2,17,0.2114572525024414
Dijkstra,2,18,0.007411956787109375
Astar,2,18,0.004027843475341797
RRT,2,18,0.0429532527923584
PRM,2,18,0.0069310665130615234
PSO,2,18,0.1658947467803955
Dijkstra,2,19,0.004728794097900391
Astar,2,19,0.003986358642578125
RRT,2,19,0.0014226436614990234
PRM,2,19,0.00817728042602539
PSO,2,19,0.3745448589324951
Dijkstra,2,20,0.002313375473022461
Astar,2,20,0.0024271011352539062
RRT,2,20,0.05646824836730957
PRM,2,20,0.00428318977355957
PSO,2,20,1.552175521850586
Dijkstra,3,1,0.005985260009765625
Astar,3,1,0.00487208366394043
RRT,3,1,0.0032820701599121094
PRM,3,1,0.010933160781860352
PSO,3,1,0.20756077766418457
Dijkstra,3,2,0.005525112152099609
Astar,3,2,0.005964040756225586
RRT,3,2,0.002048492431640625
PRM,3,2,0.010256052017211914
PSO,3,2,0.4552028179168701
Dijkstra,3,3,0.0075490474700927734
Astar,3,3,0.0067331790924072266
RRT,3,3,0.48816895484924316
PRM,3,3,0.008203983306884766
PSO,3,3,0.20441508293151855
Dijkstra,3,4,0.00549006462097168
Astar,3,4,0.004247426986694336
RRT,3,4,0.002350330352783203
PRM,3,4,0.009467124938964844
PSO,3,4,0.22746920585632324
Dijkstra,3,5,0.004276752471923828
Astar,3,5,0.004139900207519531
RRT,3,5,0.021665334701538086
PRM,3,5,0.008385181427001953
PSO,3,5,0.21022272109985352
Dijkstra,3,6,0.008530616760253906
Astar,3,6,0.0056078433990478516
RRT,3,6,0.0025358200073242188
PRM,3,6,0.008244752883911133
PSO,3,6,0.16517019271850586
Dijkstra,3,7,0.0064239501953125
Astar,3,7,0.006104230880737305
RRT,3,7,0.004712581634521484
PRM,3,7,0.009631872177124023
PSO,3,7,0.1834578514099121
Dijkstra,3,8,0.00575709342956543
Astar,3,8,0.0056438446044921875
RRT,3,8,0.0013246536254882812
PRM,3,8,0.008943557739257812
PSO,3,8,0.21095609664916992
Dijkstra,3,9,0.005610942840576172
Astar,3,9,0.005753755569458008
RRT,3,9,0.0015420913696289062
PRM,3,9,0.006933927536010742
PSO,3,9,0.17670822143554688
Dijkstra,3,10,0.006304025650024414
Astar,3,10,0.005650043487548828
RRT,3,10,0.01466989517211914
PRM,3,10,0.00751805305480957
PSO,3,10,0.3344085216522217
Dijkstra,3,11,0.00759434700012207
Astar,3,11,0.006476640701293945
RRT,3,11,0.005561113357543945
PRM,3,11,0.008354425430297852
PSO,3,11,0.22589612007141113
Dijkstra,3,12,0.007976531982421875
Astar,3,12,0.007144927978515625
RRT,3,12,0.004862546920776367
PRM,3,12,0.008936166763305664
PSO,3,12,0.19112825393676758
Dijkstra,3,13,0.0072133541107177734
Astar,3,13,0.004389524459838867
RRT,3,13,0.002262115478515625
PRM,3,13,0.007010936737060547
PSO,3,13,0.2825894355773926
Dijkstra,3,14,0.0053327083587646484
Astar,3,14,0.0050201416015625
RRT,3,14,0.002734661102294922
PRM,3,14,0.015521764755249023
PSO,3,14,0.22284221649169922
Dijkstra,3,15,0.005298137664794922
Astar,3,15,0.0037415027618408203
RRT,3,15,0.0020678043365478516
PRM,3,15,0.006922006607055664
PSO,3,15,1.8613555431365967
Dijkstra,3,16,0.008226394653320312
Astar,3,16,0.005544424057006836
RRT,3,16,0.0018720626831054688
PRM,3,16,0.015172481536865234
PSO,3,16,1.6133630275726318
Dijkstra,3,17,0.009192943572998047
Astar,3,17,0.004392385482788086
RRT,3,17,0.0016105175018310547
PRM,3,17,0.0074880123138427734
PSO,3,17,0.17323851585388184
Dijkstra,3,18,0.007379055023193359
Astar,3,18,0.006746053695678711
RRT,3,18,0.0024635791778564453
PRM,3,18,0.010731935501098633
PSO,3,18,0.15608716011047363
Dijkstra,3,19,0.006291866302490234
Astar,3,19,0.04033660888671875
RRT,3,19,0.016880512237548828
PRM,3,19,0.007864236831665039
PSO,3,19,1.603203296661377
Dijkstra,3,20,0.005051136016845703
Astar,3,20,0.0053522586822509766
RRT,3,20,0.05944037437438965
PRM,3,20,0.008856534957885742
PSO,3,20,0.2292332649230957
Dijkstra,4,1,0.002730846405029297
Astar,4,1,0.0019872188568115234
RRT,4,1,0.008429288864135742
PRM,4,1,0.003384828567504883
PSO,4,1,0.4323420524597168
Dijkstra,4,2,0.0016520023345947266
Astar,4,2,0.0030252933502197266
RRT,4,2,0.04307222366333008
PRM,4,2,0.0034377574920654297
PSO,4,2,0.32769322395324707
Dijkstra,4,3,0.0017406940460205078
Astar,4,3,0.002025127410888672
RRT,4,3,0.019367694854736328
PRM,4,3,0.002279996871948242
PSO,4,3,1.6903598308563232
Dijkstra,4,4,0.0017249584197998047
Astar,4,4,0.0022258758544921875
RRT,4,4,0.020554304122924805
PRM,4,4,0.0035169124603271484
PSO,4,4,0.43323493003845215
Dijkstra,4,5,0.0016934871673583984
Astar,4,5,0.002897024154663086
RRT,4,5,0.01617908477783203
PRM,4,5,0.004545450210571289
