Algorithm,Map,Run,Value
Dijkstra,1,1,0.4296875
Astar,1,1,0.0078125
RRT,1,1,0.00390625
PRM,1,1,0.015625
PSO,1,1,4.0390625
Dijkstra,1,2,0.0234375
Astar,1,2,0.00390625
RRT,1,2,0.0
PRM,1,2,0.0
PSO,1,2,0.18359375
Dijkstra,1,3,0.0078125
Astar,1,3,0.0
RRT,1,3,0.0
PRM,1,3,0.0
PSO,1,3,0.76171875
Dijkstra,1,4,0.015625
Astar,1,4,0.00390625
RRT,1,4,0.0
PRM,1,4,0.0
PSO,1,4,0.12109375
Dijkstra,1,5,0.015625
Astar,1,5,0.0
RRT,1,5,0.0
PRM,1,5,0.0
PSO,1,5,0.4453125
Dijkstra,1,6,0.2734375
Astar,1,6,0.0
RRT,1,6,0.0
PRM,1,6,0.0
PSO,1,6,0.1640625
Dijkstra,1,7,0.13671875
Astar,1,7,0.0
RRT,1,7,0.0
PRM,1,7,0.0
PSO,1,7,-0.00390625
Dijkstra,1,8,0.01171875
Astar,1,8,0.01953125
RRT,1,8,0.0
PRM,1,8,0.0
PSO,1,8,-0.0078125
Dijkstra,1,9,0.01171875
Astar,1,9,0.0
RRT,1,9,0.0
PRM,1,9,0.0
PSO,1,9,0.0546875
Dijkstra,1,10,0.01171875
Astar,1,10,0.00390625
RRT,1,10,0.0
PRM,1,10,0.0
PSO,1,10,-0.015625
Dijkstra,1,11,0.015625
Astar,1,11,0.0
RRT,1,11,0.0
PRM,1,11,0.0
PSO,1,11,0.10546875
Dijkstra,1,12,0.0078125
Astar,1,12,0.0
RRT,1,12,0.0
PRM,1,12,0.0
PSO,1,12,-0.0078125
Dijkstra,1,13,0.01171875
Astar,1,13,0.0078125
RRT,1,13,0.0
PRM,1,13,0.0
PSO,1,13,0.1796875
Dijkstra,1,14,0.01171875
Astar,1,14,0.0
RRT,1,14,0.0
PRM,1,14,0.0
PSO,1,14,-0.01171875
Dijkstra,1,15,0.0078125
Astar,1,15,0.0
RRT,1,15,0.0
PRM,1,15,0.0
PSO,1,15,-0.00390625
Dijkstra,1,16,0.015625
Astar,1,16,0.0
RRT,1,16,0.0
PRM,1,16,0.0
PSO,1,16,0.1796875
Dijkstra,1,17,0.04296875
Astar,1,17,0.0
RRT,1,17,0.0
PRM,1,17,0.0
PSO,1,17,-0.01171875
Dijkstra,1,18,0.01171875
Astar,1,18,0.0
RRT,1,18,0.0
PRM,1,18,0.0
PSO,1,18,-0.01171875
Dijkstra,1,19,0.01171875
Astar,1,19,0.0
RRT,1,19,0.0
PRM,1,19,0.0
PSO,1,19,-0.01171875
Dijkstra,1,20,0.01171875
Astar,1,20,0.0
RRT,1,20,0.0
PRM,1,20,0.0
PSO,1,20,0.24609375
Dijkstra,1,21,0.015625
Astar,1,21,0.00390625
RRT,1,21,0.0
PRM,1,21,0.0078125
PSO,1,21,0.4453125
Dijkstra,1,22,0.30078125
Astar,1,22,0.0
RRT,1,22,0.0
PRM,1,22,0.0
PSO,1,22,0.19921875
Dijkstra,1,23,0.07421875
Astar,1,23,0.0
RRT,1,23,0.0
PRM,1,23,0.0
PSO,1,23,0.25390625
Dijkstra,1,24,0.203125
Astar,1,24,0.0
RRT,1,24,0.0
PRM,1,24,0.0
PSO,1,24,0.00390625
Dijkstra,1,25,0.01953125
Astar,1,25,0.0
RRT,1,25,0.0
PRM,1,25,0.0
PSO,1,25,-0.00390625
Dijkstra,1,26,0.01171875
Astar,1,26,0.0
RRT,1,26,0.0
PRM,1,26,0.0
PSO,1,26,-0.01171875
Dijkstra,1,27,0.01171875
Astar,1,27,0.0
RRT,1,27,0.0
PRM,1,27,0.0
PSO,1,27,-0.01171875
Dijkstra,1,28,0.01171875
Astar,1,28,0.0
RRT,1,28,0.0
PRM,1,28,0.0
PSO,1,28,-0.01953125
Dijkstra,1,29,0.01171875
Astar,1,29,0.0
RRT,1,29,0.0
PRM,1,29,0.0
PSO,1,29,-0.015625
Dijkstra,1,30,0.015625
Astar,1,30,0.03515625
RRT,1,30,0.0
PRM,1,30,0.0
PSO,1,30,-0.0078125
Dijkstra,1,31,0.01171875
Astar,1,31,0.0
RRT,1,31,0.0
PRM,1,31,0.0
PSO,1,31,-0.015625
Dijkstra,1,32,0.015625
Astar,1,32,0.0
RRT,1,32,0.0
PRM,1,32,0.0
PSO,1,32,-0.01171875
Dijkstra,1,33,0.01171875
Astar,1,33,0.0
RRT,1,33,0.0
PRM,1,33,0.0
PSO,1,33,-0.01171875
Dijkstra,1,34,0.01171875
Astar,1,34,0.0
RRT,1,34,0.0
PRM,1,34,0.0
PSO,1,34,-0.01171875
Dijkstra,1,35,0.01171875
Astar,1,35,0.00390625
RRT,1,35,0.0
PRM,1,35,0.0
PSO,1,35,-0.01171875
Dijkstra,1,36,0.0078125
Astar,1,36,0.0
RRT,1,36,0.0
PRM,1,36,0.0
PSO,1,36,-0.0078125
Dijkstra,1,37,0.0078125
Astar,1,37,0.00390625
RRT,1,37,0.0
PRM,1,37,0.0
PSO,1,37,-0.015625
Dijkstra,1,38,0.015625
Astar,1,38,0.0
RRT,1,38,0.0
PRM,1,38,0.0
PSO,1,38,-0.015625
Dijkstra,1,39,0.0078125
Astar,1,39,0.0078125
RRT,1,39,0.0
PRM,1,39,0.0
PSO,1,39,-0.015625
Dijkstra,1,40,0.015625
Astar,1,40,0.0
RRT,1,40,0.0
PRM,1,40,0.0
PSO,1,40,-0.0078125
Dijkstra,1,41,0.01171875
Astar,1,41,0.0
RRT,1,41,0.0
PRM,1,41,0.0
PSO,1,41,-0.01953125
Dijkstra,1,42,0.01171875
Astar,1,42,0.0
RRT,1,42,0.0
PRM,1,42,0.0
PSO,1,42,-0.00390625
Dijkstra,1,43,0.0078125
Astar,1,43,0.0
RRT,1,43,0.0
PRM,1,43,0.0
PSO,1,43,-0.01953125
Dijkstra,1,44,0.015625
Astar,1,44,0.00390625
RRT,1,44,0.0
PRM,1,44,0.0
PSO,1,44,-0.0078125
Dijkstra,1,45,0.00390625
Astar,1,45,0.0
RRT,1,45,0.0
PRM,1,45,0.0
PSO,1,45,-0.015625
Dijkstra,1,46,0.01171875
Astar,1,46,0.0
RRT,1,46,0.0
PRM,1,46,0.0
PSO,1,46,-30.5859375
Dijkstra,1,47,0.0078125
Astar,1,47,0.0
RRT,1,47,0.0
PRM,1,47,0.0
PSO,1,47,-0.01171875
Dijkstra,1,48,0.0078125
Astar,1,48,0.0
RRT,1,48,0.0
PRM,1,48,0.0
PSO,1,48,0.0
Dijkstra,1,49,0.01171875
Astar,1,49,0.0
RRT,1,49,0.0
PRM,1,49,0.0
PSO,1,49,-0.00390625
Dijkstra,1,50,0.00390625
Astar,1,50,0.0
RRT,1,50,0.0
PRM,1,50,0.0
PSO,1,50,0.1875
Dijkstra,1,51,0.0546875
Astar,1,51,0.0
RRT,1,51,0.0
PRM,1,51,0.0
PSO,1,51,0.0
Dijkstra,1,52,0.015625
Astar,1,52,0.0
RRT,1,52,0.0
PRM,1,52,0.0
PSO,1,52,0.86328125
Dijkstra,1,53,0.015625
Astar,1,53,0.00390625
RRT,1,53,0.0
