Algorithm,Map,Run,Value
Dijkstra,1,1,1832
Astar,1,1,1734
RRT,1,1,793
PRM,1,1,793
PSO,1,1,8550
Dijkstra,1,2,1832
Astar,1,2,1734
RRT,1,2,264
PRM,1,2,264
PSO,1,2,9450
Dijkstra,1,3,1832
Astar,1,3,1734
RRT,1,3,200
PRM,1,3,200
PSO,1,3,8250
Dijkstra,1,4,1832
Astar,1,4,1734
RRT,1,4,454
PRM,1,4,454
PSO,1,4,10950
Dijkstra,1,5,1832
Astar,1,5,1734
RRT,1,5,479
PRM,1,5,479
PSO,1,5,10650
Dijkstra,1,6,1832
Astar,1,6,1734
RRT,1,6,392
PRM,1,6,392
PSO,1,6,29700
Dijkstra,1,7,1832
Astar,1,7,1734
RRT,1,7,368
PRM,1,7,368
PSO,1,7,14400
Dijkstra,1,8,1832
Astar,1,8,1734
RRT,1,8,232
PRM,1,8,232
PSO,1,8,8550
Dijkstra,1,9,1832
Astar,1,9,1734
RRT,1,9,247
PRM,1,9,247
PSO,1,9,9900
Dijkstra,1,10,1832
Astar,1,10,1734
RRT,1,10,302
PRM,1,10,302
PSO,1,10,9000
Dijkstra,1,11,1832
Astar,1,11,1734
RRT,1,11,329
PRM,1,11,329
PSO,1,11,9900
Dijkstra,1,12,1832
Astar,1,12,1734
RRT,1,12,299
PRM,1,12,299
PSO,1,12,9000
Dijkstra,1,13,1832
Astar,1,13,1734
RRT,1,13,371
PRM,1,13,371
PSO,1,13,11250
Dijkstra,1,14,1832
Astar,1,14,1734
RRT,1,14,337
PRM,1,14,337
PSO,1,14,9150
Dijkstra,1,15,1832
Astar,1,15,1734
RRT,1,15,232
PRM,1,15,232
PSO,1,15,31350
Dijkstra,1,16,1832
Astar,1,16,1734
RRT,1,16,525
PRM,1,16,525
PSO,1,16,9600
Dijkstra,1,17,1832
Astar,1,17,1734
RRT,1,17,348
PRM,1,17,348
PSO,1,17,75000
Dijkstra,1,18,1832
Astar,1,18,1734
RRT,1,18,349
PRM,1,18,349
PSO,1,18,12450
Dijkstra,1,19,1832
Astar,1,19,1734
RRT,1,19,535
PRM,1,19,535
PSO,1,19,9300
Dijkstra,1,20,1832
Astar,1,20,1734
RRT,1,20,295
PRM,1,20,295
PSO,1,20,9450
Dijkstra,1,21,1832
Astar,1,21,1734
RRT,1,21,276
PRM,1,21,276
PSO,1,21,8400
Dijkstra,1,22,1832
Astar,1,22,1734
RRT,1,22,340
PRM,1,22,340
PSO,1,22,12450
Dijkstra,1,23,1832
Astar,1,23,1734
RRT,1,23,392
PRM,1,23,392
PSO,1,23,10950
Dijkstra,1,24,1832
Astar,1,24,1734
RRT,1,24,433
PRM,1,24,433
PSO,1,24,9450
Dijkstra,1,25,1832
Astar,1,25,1734
RRT,1,25,367
PRM,1,25,367
PSO,1,25,8850
Dijkstra,1,26,1832
