Algorithm,Map,Run,Value
Dijkstra,1,1,91
Astar,1,1,3
RRT,1,1,4
PRM,1,1,5
PSO,1,1,100
Dijkstra,1,2,91
Astar,1,2,3
RRT,1,2,3
PRM,1,2,5
PSO,1,2,100
Dijkstra,1,3,91
Astar,1,3,3
RRT,1,3,4
PRM,1,3,5
PSO,1,3,100
Dijkstra,1,4,91
Astar,1,4,3
RRT,1,4,4
PRM,1,4,5
PSO,1,4,100
Dijkstra,1,5,91
Astar,1,5,3
RRT,1,5,4
PRM,1,5,5
PSO,1,5,100
Dijkstra,1,6,91
Astar,1,6,3
RRT,1,6,4
PRM,1,6,5
PSO,1,6,100
Dijkstra,1,7,91
Astar,1,7,3
RRT,1,7,4
PRM,1,7,6
PSO,1,7,100
Dijkstra,1,8,91
Astar,1,8,3
RRT,1,8,4
PRM,1,8,5
PSO,1,8,100
Dijkstra,1,9,91
Astar,1,9,3
RRT,1,9,4
PRM,1,9,4
PSO,1,9,100
Dijkstra,1,10,91
Astar,1,10,3
RRT,1,10,4
PRM,1,10,5
PSO,1,10,100
Dijkstra,1,11,91
Astar,1,11,3
RRT,1,11,5
PRM,1,11,6
PSO,1,11,100
Dijkstra,1,12,91
Astar,1,12,3
RRT,1,12,4
PRM,1,12,4
PSO,1,12,100
Dijkstra,1,13,91
Astar,1,13,3
RRT,1,13,4
PRM,1,13,5
PSO,1,13,100
Dijkstra,1,14,91
Astar,1,14,3
RRT,1,14,4
PRM,1,14,5
PSO,1,14,100
Dijkstra,1,15,91
Astar,1,15,3
RRT,1,15,4
PRM,1,15,5
PSO,1,15,100
Dijkstra,1,16,91
Astar,1,16,3
RRT,1,16,5
PRM,1,16,5
PSO,1,16,100
Dijkstra,1,17,91
Astar,1,17,3
RRT,1,17,4
PRM,1,17,5
PSO,1,17,100
Dijkstra,1,18,91
Astar,1,18,3
RRT,1,18,3
PRM,1,18,5
PSO,1,18,100
Dijkstra,1,19,91
Astar,1,19,3
RRT,1,19,4
PRM,1,19,5
PSO,1,19,100
Dijkstra,1,20,91
Astar,1,20,3
RRT,1,20,4
PRM,1,20,5
PSO,1,20,100
Dijkstra,2,1,91
Astar,2,1,5
RRT,2,1,3
PRM,2,1,4
PSO,2,1,100
Dijkstra,2,2,91
Astar,2,2,4
RRT,2,2,3
PRM,2,2,4
PSO,2,2,100
Dijkstra,2,3,91
Astar,2,3,3
RRT,2,3,3
PRM,2,3,4
PSO,2,3,100
Dijkstra,2,4,95
Astar,2,4,5
RRT,2,4,0
PRM,2,4,0
PSO,2,4,100
Dijkstra,2,5,91
Astar,2,5,4
RRT,2,5,5
PRM,2,5,5
PSO,2,5,100
Dijkstra,2,6,91
Astar,2,6,4
RRT,2,6,3
PRM,2,6,3
PSO,2,6,100
Dijkstra,2,7,95
Astar,2,7,4
RRT,2,7,3
PRM,2,7,5
PSO,2,7,100
Dijkstra,2,8,91
Astar,2,8,3
RRT,2,8,3
PRM,2,8,3
PSO,2,8,100
Dijkstra,2,9,91
Astar,2,9,2
RRT,2,9,2
PRM,2,9,4
PSO,2,9,100
Dijkstra,2,10,91
Astar,2,10,4
RRT,2,10,4
PRM,2,10,5
PSO,2,10,100
Dijkstra,2,11,91
Astar,2,11,4
RRT,2,11,5
PRM,2,11,4
PSO,2,11,100
Dijkstra,2,12,91
Astar,2,12,3
RRT,2,12,3
PRM,2,12,7
PSO,2,12,100
Dijkstra,2,13,91
Astar,2,13,3
RRT,2,13,3
PRM,2,13,5
PSO,2,13,100
Dijkstra,2,14,91
Astar,2,14,4
RRT,2,14,4
PRM,2,14,6
PSO,2,14,100
Dijkstra,2,15,97
Astar,2,15,5
RRT,2,15,5
PRM,2,15,7
PSO,2,15,100
Dijkstra,2,16,91
Astar,2,16,3
RRT,2,16,3
PRM,2,16,5
PSO,2,16,100
Dijkstra,2,17,91
Astar,2,17,5
RRT,2,17,4
PRM,2,17,5
PSO,2,17,100
Dijkstra,2,18,91
Astar,2,18,3
RRT,2,18,5
PRM,2,18,5
PSO,2,18,100
Dijkstra,2,19,91
Astar,2,19,3
RRT,2,19,3
PRM,2,19,4
PSO,2,19,100
Dijkstra,2,20,91
Astar,2,20,3
RRT,2,20,0
PRM,2,20,6
PSO,2,20,100
Dijkstra,3,1,91
Astar,3,1,2
RRT,3,1,2
PRM,3,1,5
PSO,3,1,100
Dijkstra,3,2,91
Astar,3,2,4
RRT,3,2,3
PRM,3,2,3
PSO,3,2,100
Dijkstra,3,3,95
Astar,3,3,4
RRT,3,3,0
PRM,3,3,0
PSO,3,3,100
Dijkstra,3,4,91
Astar,3,4,3
RRT,3,4,3
PRM,3,4,4
PSO,3,4,100
Dijkstra,3,5,91
Astar,3,5,6
RRT,3,5,7
PRM,3,5,6
PSO,3,5,100
Dijkstra,3,6,91
Astar,3,6,3
RRT,3,6,3
PRM,3,6,6
PSO,3,6,100
Dijkstra,3,7,91
Astar,3,7,3
RRT,3,7,4
PRM,3,7,4
PSO,3,7,100
Dijkstra,3,8,91
Astar,3,8,2
RRT,3,8,2
PRM,3,8,4
PSO,3,8,100
Dijkstra,3,9,91
Astar,3,9,5
RRT,3,9,3
PRM,3,9,5
PSO,3,9,100
Dijkstra,3,10,91
Astar,3,10,3
RRT,3,10,5
PRM,3,10,5
PSO,3,10,100
Dijkstra,3,11,91
Astar,3,11,4
RRT,3,11,4
PRM,3,11,7
PSO,3,11,100
Dijkstra,3,12,91
Astar,3,12,4
RRT,3,12,4
PRM,3,12,5
PSO,3,12,100
Dijkstra,3,13,91
Astar,3,13,2
RRT,3,13,2
PRM,3,13,4
PSO,3,13,100
Dijkstra,3,14,91
Astar,3,14,4
RRT,3,14,4
PRM,3,14,5
PSO,3,14,100
Dijkstra,3,15,91
Astar,3,15,5
RRT,3,15,5
PRM,3,15,5
PSO,3,15,100
Dijkstra,3,16,91
Astar,3,16,3
RRT,3,16,3
PRM,3,16,3
PSO,3,16,100
Dijkstra,3,17,91
Astar,3,17,3
RRT,3,17,3
PRM,3,17,4
PSO,3,17,100
Dijkstra,3,18,91
Astar,3,18,3
RRT,3,18,3
PRM,3,18,4
PSO,3,18,100
Dijkstra,3,19,91
Astar,3,19,3
RRT,3,19,3
PRM,3,19,5
PSO,3,19,100
Dijkstra,3,20,91
Astar,3,20,3
RRT,3,20,5
PRM,3,20,8
PSO,3,20,100
Dijkstra,4,1,91
Astar,4,1,4
RRT,4,1,4
PRM,4,1,5
PSO,4,1,100
Dijkstra,4,2,91
Astar,4,2,4
RRT,4,2,6
PRM,4,2,5
PSO,4,2,100
Dijkstra,4,3,91
Astar,4,3,4
RRT,4,3,4
PRM,4,3,0
PSO,4,3,100
Dijkstra,4,4,91
Astar,4,4,4
RRT,4,4,4
PRM,4,4,0
PSO,4,4,100
Dijkstra,4,5,91
Astar,4,5,4
RRT,4,5,4
PRM,4,5,6
PSO,4,5,100
Dijkstra,4,6,91
Astar,4,6,4
RRT,4,6,4
PRM,4,6,0
PSO,4,6,100
Dijkstra,4,7,91
Astar,4,7,4
RRT,4,7,4
PRM,4,7,0
PSO,4,7,100
Dijkstra,4,8,91
Astar,4,8,4
RRT,4,8,4
PRM,4,8,8
PSO,4,8,100
Dijkstra,4,9,91
Astar,4,9,4
RRT,4,9,4
PRM,4,9,0
PSO,4,9,100
Dijkstra,4,10,91
Astar,4,10,4
RRT,4,10,4
PRM,4,10,7
PSO,4,10,100
Dijkstra,4,11,91
Astar,4,11,4
RRT,4,11,4
PRM,4,11,5
PSO,4,11,100
Dijkstra,4,12,91
Astar,4,12,4
RRT,4,12,5
PRM,4,12,0
PSO,4,12,100
Dijkstra,4,13,91
Astar,4,13,4
RRT,4,13,6
PRM,4,13,6
PSO,4,13,100
Dijkstra,4,14,91
Astar,4,14,4
RRT,4,14,4
PRM,4,14,6
PSO,4,14,100
Dijkstra,4,15,91
Astar,4,15,4
RRT,4,15,4
PRM,4,15,5
PSO,4,15,100
Dijkstra,4,16,91
Astar,4,16,4
RRT,4,16,4
PRM,4,16,0
PSO,4,16,100
Dijkstra,4,17,91
Astar,4,17,4
RRT,4,17,4
PRM,4,17,0
PSO,4,17,100
Dijkstra,4,18,91
Astar,4,18,4
RRT,4,18,4
PRM,4,18,0
PSO,4,18,100
Dijkstra,4,19,91
Astar,4,19,4
RRT,4,19,4
PRM,4,19,6
PSO,4,19,100
Dijkstra,4,20,91
Astar,4,20,4
RRT,4,20,4
PRM,4,20,6
PSO,4,20,100
