Algorithm,Map,Run,Value
Dijkstra,1,1,0.01098901098901099
Astar,1,1,0.015155394353372818
RRT,1,1,0.009500874461354529
PRM,1,1,0.0
PSO,1,1,0.00987379780284697
Dijkstra,1,2,0.01098901098901099
Astar,1,2,0.015155394353372818
RRT,1,2,0.015181661287315306
PRM,1,2,0.0
PSO,1,2,0.009679513783726893
Dijkstra,1,3,0.01098901098901099
Astar,1,3,0.015155394353372818
RRT,1,3,0.01211809560913051
PRM,1,3,0.0
PSO,1,3,0.0014305630915205007
Dijkstra,1,4,0.01098901098901099
Astar,1,4,0.015155394353372818
RRT,1,4,0.011562642165018625
PRM,1,4,0.0
PSO,1,4,0.006960235142132462
Dijkstra,1,5,0.01098901098901099
Astar,1,5,0.015155394353372818
RRT,1,5,0.009548430551852899
PRM,1,5,0.0
