Algorithm,Map,Run,Value
Dijkstra,1,1,90.0
Astar,1,1,64.98310652189997
RRT,1,1,56.12469244207859
PRM,1,1,70.01689347810004
PSO,1,1,217.96108892316286
Dijkstra,1,2,90.0
Astar,1,2,64.98310652189997
RRT,1,2,57.06608322862374
PRM,1,2,86.1481377343316
PSO,1,2,139.40599320218774
Dijkstra,1,3,90.0
Astar,1,3,64.98310652189997
RRT,1,3,52.77229158772123
PRM,1,3,60.554571270074426
PSO,1,3,377.2465248504313
Dijkstra,1,4,90.0
Astar,1,4,64.98310652189997
RRT,1,4,94.75942671708495
PRM,1,4,80.53767779197437
PSO,1,4,233.2360900849547
Dijkstra,1,5,90.0
Astar,1,5,64.98310652189997
RRT,1,5,71.83594131211372
