Algorithm,Map,Run,Value
Dijkstra,1,1,1
Astar,1,1,1
RRT,1,1,2
PRM,1,1,3
PSO,1,1,98
Dijkstra,1,2,1
Astar,1,2,1
RRT,1,2,1
PRM,1,2,2
PSO,1,2,98
Dijkstra,1,3,1
Astar,1,3,1
RRT,1,3,2
PRM,1,3,3
PSO,1,3,98
Dijkstra,1,4,1
Astar,1,4,1
RRT,1,4,2
PRM,1,4,3
PSO,1,4,98
Dijkstra,1,5,1
Astar,1,5,1
RRT,1,5,2
PRM,1,5,2
PSO,1,5,98
Dijkstra,1,6,1
Astar,1,6,1
RRT,1,6,2
PRM,1,6,2
PSO,1,6,98
Dijkstra,1,7,1
Astar,1,7,1
RRT,1,7,2
PRM,1,7,4
PSO,1,7,98
Dijkstra,1,8,1
Astar,1,8,1
RRT,1,8,2
PRM,1,8,2
PSO,1,8,97
Dijkstra,1,9,1
Astar,1,9,1
RRT,1,9,2
PRM,1,9,2
PSO,1,9,98
Dijkstra,1,10,1
Astar,1,10,1
RRT,1,10,2
PRM,1,10,2
PSO,1,10,98
Dijkstra,1,11,1
Astar,1,11,1
RRT,1,11,3
PRM,1,11,4
PSO,1,11,98
Dijkstra,1,12,1
Astar,1,12,1
RRT,1,12,2
PRM,1,12,2
PSO,1,12,98
Dijkstra,1,13,1
Astar,1,13,1
RRT,1,13,2
PRM,1,13,3
PSO,1,13,98
Dijkstra,1,14,1
Astar,1,14,1
RRT,1,14,2
PRM,1,14,3
PSO,1,14,98
Dijkstra,1,15,1
Astar,1,15,1
RRT,1,15,2
PRM,1,15,3
PSO,1,15,98
Dijkstra,1,16,1
Astar,1,16,1
RRT,1,16,3
PRM,1,16,3
PSO,1,16,98
Dijkstra,1,17,1
Astar,1,17,1
RRT,1,17,2
PRM,1,17,3
PSO,1,17,98
Dijkstra,1,18,1
Astar,1,18,1
RRT,1,18,1
PRM,1,18,2
PSO,1,18,98
Dijkstra,1,19,1
Astar,1,19,1
RRT,1,19,2
PRM,1,19,3
PSO,1,19,98
Dijkstra,1,20,1
Astar,1,20,1
RRT,1,20,2
PRM,1,20,2
PSO,1,20,97
Dijkstra,2,1,27
Astar,2,1,3
RRT,2,1,1
PRM,2,1,2
PSO,2,1,98
Dijkstra,2,2,19
Astar,2,2,2
RRT,2,2,1
PRM,2,2,2
PSO,2,2,98
Dijkstra,2,3,47
Astar,2,3,1
RRT,2,3,1
PRM,2,3,2
PSO,2,3,98
Dijkstra,2,4,23
Astar,2,4,3
RRT,2,4,0
PRM,2,4,0
PSO,2,4,0
Dijkstra,2,5,17
Astar,2,5,2
RRT,2,5,3
PRM,2,5,3
PSO,2,5,98
Dijkstra,2,6,45
Astar,2,6,2
RRT,2,6,1
PRM,2,6,1
PSO,2,6,98
Dijkstra,2,7,46
Astar,2,7,2
RRT,2,7,1
PRM,2,7,3
PSO,2,7,98
Dijkstra,2,8,17
Astar,2,8,1
RRT,2,8,1
PRM,2,8,1
PSO,2,8,97
Dijkstra,2,9,29
Astar,2,9,0
RRT,2,9,0
PRM,2,9,2
PSO,2,9,98
Dijkstra,2,10,4
Astar,2,10,2
RRT,2,10,2
PRM,2,10,3
PSO,2,10,97
Dijkstra,2,11,23
Astar,2,11,2
RRT,2,11,3
PRM,2,11,2
PSO,2,11,98
Dijkstra,2,12,23
Astar,2,12,1
RRT,2,12,1
PRM,2,12,5
PSO,2,12,98
Dijkstra,2,13,36
Astar,2,13,1
RRT,2,13,1
PRM,2,13,3
PSO,2,13,98
Dijkstra,2,14,26
Astar,2,14,2
RRT,2,14,2
PRM,2,14,4
PSO,2,14,98
Dijkstra,2,15,38
Astar,2,15,3
RRT,2,15,3
PRM,2,15,5
PSO,2,15,98
Dijkstra,2,16,16
Astar,2,16,1
RRT,2,16,1
PRM,2,16,3
PSO,2,16,98
Dijkstra,2,17,35
Astar,2,17,3
RRT,2,17,2
PRM,2,17,3
PSO,2,17,98
Dijkstra,2,18,4
Astar,2,18,1
RRT,2,18,3
PRM,2,18,3
PSO,2,18,97
Dijkstra,2,19,25
Astar,2,19,1
RRT,2,19,1
PRM,2,19,1
PSO,2,19,98
Dijkstra,2,20,25
Astar,2,20,1
RRT,2,20,0
PRM,2,20,4
PSO,2,20,98
Dijkstra,3,1,11
Astar,3,1,0
RRT,3,1,0
PRM,3,1,3
PSO,3,1,98
Dijkstra,3,2,13
